================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
8	88	108	SUCCESS	3
8	27	31	SUCCESS	4
8	18	19	SUCCESS	5
8	22	24	SUCCESS	6
8	17	24	SUCCESS	7
8	16	24	SUCCESS	8
8	16	24	SUCCESS	9
8	16	24	SUCCESS	10
8	16	24	SUCCESS	11
8	15	24	SUCCESS	12
8	16	24	SUCCESS	13
8	15	24	SUCCESS	14
8	15	24	SUCCESS	15
8	16	24	SUCCESS	16
8	15	24	SUCCESS	17
8	15	24	SUCCESS	18
8	15	24	SUCCESS	19
8	15	24	SUCCESS	20
8	16	24	SUCCESS	21
8	15	24	SUCCESS	22
8	15	24	SUCCESS	23
8	16	24	SUCCESS	24
8	15	24	SUCCESS	25
8	15	24	SUCCESS	26
8	15	24	SUCCESS	27
8	15	24	SUCCESS	28
8	15	24	SUCCESS	29
8	15	24	SUCCESS	30
8	15	24	SUCCESS	31
8	15	24	SUCCESS	32
8	15	24	SUCCESS	33
8	15	24	SUCCESS	34
8	15	24	SUCCESS	35
8	15	24	SUCCESS	36
8	15	24	SUCCESS	37
8	15	24	SUCCESS	38
8	15	24	SUCCESS	39
8	15	24	SUCCESS	40
8	15	24	SUCCESS	41
8	15	24	SUCCESS	42
8	15	24	SUCCESS	43
8	15	24	SUCCESS	44
8	15	24	SUCCESS	45
8	15	24	SUCCESS	46
8	14	24	SUCCESS	47
8	15	24	SUCCESS	48
8	17	24	SUCCESS	49
8	15	24	SUCCESS	50
********************************************************************************
9	159	150	SUCCESS	1
9	842	860	SUCCESS	2
9	308	307	SUCCESS	3
9	103	98	SUCCESS	4
9	48	45	SUCCESS	5
9	72	74	SUCCESS	6
9	219	218	SUCCESS	7
9	85	82	SUCCESS	8
9	49	44	SUCCESS	9
9	737	775	SUCCESS	10
9	404	415	SUCCESS	11
9	134	131	SUCCESS	12
9	269	260	SUCCESS	13
9	70	69	SUCCESS	14
9	46	41	SUCCESS	15
9	296	302	SUCCESS	16
9	292	287	SUCCESS	17
9	57	53	SUCCESS	18
9	995	1024	SUCCESS	19
9	996	984	SUCCESS	20
9	112	107	SUCCESS	21
9	398	411	SUCCESS	22
9	741	775	SUCCESS	23
9	405	415	SUCCESS	24
9	129	131	SUCCESS	25
9	271	260	SUCCESS	26
9	70	69	SUCCESS	27
9	46	41	SUCCESS	28
9	294	302	SUCCESS	29
9	291	287	SUCCESS	30
9	57	53	SUCCESS	31
9	996	1024	SUCCESS	32
9	999	984	SUCCESS	33
9	116	107	SUCCESS	34
9	396	411	SUCCESS	35
9	740	775	SUCCESS	36
9	405	415	SUCCESS	37
9	129	131	SUCCESS	38
9	269	260	SUCCESS	39
9	70	69	SUCCESS	40
9	46	41	SUCCESS	41
9	295	302	SUCCESS	42
9	289	287	SUCCESS	43
9	57	53	SUCCESS	44
9	998	1024	SUCCESS	45
9	998	984	SUCCESS	46
9	112	107	SUCCESS	47
9	398	411	SUCCESS	48
9	740	775	SUCCESS	49
9	404	415	SUCCESS	50
********************************************************************************
10	769	643	SUCCESS	1
10	153	121	SUCCESS	2
10	96	73	SUCCESS	3
10	1445	1206	SUCCESS	4
10	172	143	SUCCESS	5
10	934	783	SUCCESS	6
10	120	92	SUCCESS	7
10	54	40	SUCCESS	8
10	523	454	SUCCESS	9
10	756	634	SUCCESS	10
10	779	642	SUCCESS	11
10	690	581	SUCCESS	12
10	1338	1120	SUCCESS	13
10	320	263	SUCCESS	14
10	1510	1280	SUCCESS	15
10	63	50	SUCCESS	16
10	91	72	SUCCESS	17
10	970	842	SUCCESS	18
10	84	66	SUCCESS	19
10	795	674	SUCCESS	20
10	560	458	SUCCESS	21
10	1791	1512	SUCCESS	22
10	223	183	SUCCESS	23
10	1463	1206	SUCCESS	24
10	172	143	SUCCESS	25
10	932	783	SUCCESS	26
10	120	92	SUCCESS	27
10	54	40	SUCCESS	28
10	522	454	SUCCESS	29
10	760	634	SUCCESS	30
10	779	642	SUCCESS	31
10	687	581	SUCCESS	32
10	1336	1120	SUCCESS	33
10	322	263	SUCCESS	34
10	1511	1280	SUCCESS	35
10	63	50	SUCCESS	36
10	91	72	SUCCESS	37
10	967	842	SUCCESS	38
10	85	66	SUCCESS	39
10	796	674	SUCCESS	40
10	560	458	SUCCESS	41
10	1794	1512	SUCCESS	42
10	220	183	SUCCESS	43
10	1460	1206	SUCCESS	44
10	175	143	SUCCESS	45
10	927	783	SUCCESS	46
10	122	92	SUCCESS	47
10	55	40	SUCCESS	48
10	518	454	SUCCESS	49
10	758	634	SUCCESS	50
********************************************************************************
11	188	117	SUCCESS	1
11	714	493	SUCCESS	2
11	242	157	SUCCESS	3
11	289	185	SUCCESS	4
11	744	476	SUCCESS	5
11	507	330	SUCCESS	6
11	175	114	SUCCESS	7
11	592	380	SUCCESS	8
11	527	336	SUCCESS	9
11	162	99	SUCCESS	10
11	938	643	SUCCESS	11
11	753	496	SUCCESS	12
11	651	433	SUCCESS	13
11	260	171	SUCCESS	14
11	1041	691	SUCCESS	15
11	1055	703	SUCCESS	16
11	245	157	SUCCESS	17
11	287	185	SUCCESS	18
11	747	476	SUCCESS	19
11	506	330	SUCCESS	20
11	177	114	SUCCESS	21
11	588	380	SUCCESS	22
11	526	336	SUCCESS	23
11	160	99	SUCCESS	24
11	939	643	SUCCESS	25
11	755	496	SUCCESS	26
11	653	433	SUCCESS	27
11	258	171	SUCCESS	28
11	1035	691	SUCCESS	29
11	1057	703	SUCCESS	30
11	243	157	SUCCESS	31
11	289	185	SUCCESS	32
11	747	476	SUCCESS	33
11	510	330	SUCCESS	34
11	174	114	SUCCESS	35
11	587	380	SUCCESS	36
11	526	336	SUCCESS	37
11	160	99	SUCCESS	38
11	941	643	SUCCESS	39
11	755	496	SUCCESS	40
11	649	433	SUCCESS	41
11	258	171	SUCCESS	42
11	1040	691	SUCCESS	43
11	1059	703	SUCCESS	44
11	244	157	SUCCESS	45
11	286	185	SUCCESS	46
11	748	476	SUCCESS	47
11	506	330	SUCCESS	48
11	176	114	SUCCESS	49
11	588	380	SUCCESS	50
********************************************************************************
12	1761	1034	SUCCESS	1
12	334	202	SUCCESS	2
12	555	317	SUCCESS	3
12	673	418	SUCCESS	4
12	1333	779	SUCCESS	5
12	1686	1017	SUCCESS	6
12	262	154	SUCCESS	7
12	52	27	SUCCESS	8
12	357	208	SUCCESS	9
12	60	34	SUCCESS	10
12	372	221	SUCCESS	11
12	518	328	SUCCESS	12
12	566	328	SUCCESS	13
12	557	328	SUCCESS	14
12	560	328	SUCCESS	15
12	559	328	SUCCESS	16
12	558	328	SUCCESS	17
12	555	328	SUCCESS	18
12	560	328	SUCCESS	19
12	557	328	SUCCESS	20
12	563	328	SUCCESS	21
12	558	328	SUCCESS	22
12	556	328	SUCCESS	23
12	556	328	SUCCESS	24
12	556	328	SUCCESS	25
12	556	328	SUCCESS	26
12	555	328	SUCCESS	27
12	558	328	SUCCESS	28
12	557	328	SUCCESS	29
12	555	328	SUCCESS	30
12	557	328	SUCCESS	31
12	557	328	SUCCESS	32
12	557	328	SUCCESS	33
12	555	328	SUCCESS	34
12	559	328	SUCCESS	35
12	556	328	SUCCESS	36
12	555	328	SUCCESS	37
12	556	328	SUCCESS	38
12	557	328	SUCCESS	39
12	558	328	SUCCESS	40
12	554	328	SUCCESS	41
12	557	328	SUCCESS	42
12	555	328	SUCCESS	43
12	560	328	SUCCESS	44
12	558	328	SUCCESS	45
12	558	328	SUCCESS	46
12	560	328	SUCCESS	47
12	559	328	SUCCESS	48
12	558	328	SUCCESS	49
12	556	328	SUCCESS	50
********************************************************************************
13	1272	612	SUCCESS	1
13	1860	898	SUCCESS	2
13	827	389	SUCCESS	3
13	371	174	SUCCESS	4
13	2047	971	SUCCESS	5
13	1455	716	SUCCESS	6
13	1798	861	SUCCESS	7
